Variant,Condition,RCADS Scale,N Participants,N Rows,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,Descriptive Only (N < 20),LMM Omnibus_q_bh,LMM Omnibus_q_by,LMM Omnibus_p_holm
All audit data,Negative Valence,Separation Anxiety,35,210,26.331431020103082,6,0.00019311157847472013,True,,False,0.0006952016825089925,0.003180846907933797,0.007724463138988805
All audit data,Negative Valence,Generalized Anxiety,35,210,15.837911528635459,6,0.014650914878913443,True,,False,0.03296455847755525,0.15082704277456657,0.4541783612463167
All audit data,Negative Valence,Obsessive Compulsive,35,210,4.421184145430971,6,0.6198749419020635,True,,False,0.8959135630409825,1.0,1.0
All audit data,Angry Caucasian,Social Phobia,22,132,29.057200454666145,6,5.933910825537608e-05,True,,False,0.0002464855265992545,0.0011277773700202904,0.0024922425467257953
All audit data,Angry Caucasian,Panic Disorder,22,132,19.94201851954267,6,0.0028359734794763058,True,,False,0.008507920438428919,0.038927397761545725,0.10493101874062331
All audit data,Angry Caucasian,Major Depression,22,132,29.280110402804667,6,5.3842250794449956e-05,True,,False,0.00024229012857502483,0.0011085816183863753,0.002315216784161348
All audit data,Angry Caucasian,Separation Anxiety,22,132,125.09833950351322,6,1.3820953979722628e-24,True,,False,7.463315149050219e-23,3.4147878971056406e-22,7.463315149050219e-23
All audit data,Angry Caucasian,Generalized Anxiety,22,132,50.944926719178056,6,3.0382794549687956e-09,True,,False,2.734451509471916e-08,1.25112925466577e-07,1.48875693293471e-07
All audit data,Angry Caucasian,Obsessive Compulsive,22,132,0.7526952844095831,6,0.9932824706589845,True,,False,0.9999009209323119,1.0,1.0
All audit data,Happy Caucasian,Social Phobia,22,132,19.202908159038316,6,0.003834329300147385,True,,False,0.01089756748462941,0.049861061487052674,0.13803585480530586
All audit data,Happy Caucasian,Panic Disorder,22,132,17.097193326754677,6,0.008932604005056117,True,,False,0.021132907139119476,0.09669214563250247,0.2947759321668519
All audit data,Happy Caucasian,Major Depression,22,132,31.353392653597894,6,2.1699319562145344e-05,True,,False,0.00010652393239598625,0.0004873928379457551,0.0009547700607343951
All audit data,Happy Caucasian,Separation Anxiety,22,132,100.12942159220893,6,2.358037123320989e-19,True,,False,6.36670023296667e-18,2.913039375377442e-17,1.2497596753601241e-17
All audit data,Happy Caucasian,Generalized Anxiety,22,132,40.529943184272724,6,3.5833862670039504e-07,True,,False,2.764326548831619e-06,1.2647983709758388e-05,1.7200254081618963e-05
All audit data,Happy Caucasian,Obsessive Compulsive,22,132,1.8459024385526845,6,0.9333112228437984,True,,False,0.9999009209323119,1.0,1.0
P27 omitted,Angry Neutral,Social Phobia,13,78,1.5023856018849528,6,0.9593359354733471,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
P27 omitted,Angry Neutral,Panic Disorder,13,78,4.0963476107249335,6,0.6636396763266537,True,The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.,True,0.9999009209323119,1.0,1.0
