Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; raw RCADS scores,Negative Valence,ROT,Separation Anxiety,Separation Anxiety Raw,35,-0.6878063667588605,-0.8306584416204842,-0.459994818207128,4.986938117269593e-06,-0.35260482225442025,0.037752372764334706,P27,-0.3208940529720892,-0.7174141775464656,-0.3208940529720892,2,P26; P27,False,0.0009049255524949474,0.005754875496021468,0.0016157679499953482,0.5096570323185186,1.0,1.0
All audit data; raw RCADS scores,Angry Caucasian,ROT,Separation Anxiety,Separation Anxiety Raw,22,0.8001668475018773,0.5712856829325695,0.9135744616875042,7.800250265489911e-06,0.3095187480936379,0.16099575107813607,P27,0.33384653609727494,0.33384653609727494,0.843919565888925,1,P27,False,0.0009049255524949474,0.005754875496021468,0.0025194808357532415,0.8269957158746317,1.0,1.0
All audit data; raw RCADS scores,Happy Caucasian,ROT,Separation Anxiety,Separation Anxiety Raw,22,-0.7985897710183136,-0.9128490644570278,-0.5683354246633416,8.378940300879142e-06,-0.3164612246863924,0.1513224161555716,P27,-0.22668717954662634,-0.8451960481080465,-0.22668717954662634,1,P27,False,0.0009049255524949474,0.005754875496021468,0.002698018776883084,0.8159757130128706,1.0,1.0
All audit data; raw RCADS scores,Positive Valence,ROT,Separation Anxiety,Separation Anxiety Raw,35,0.6505847342785508,0.4051841957232706,0.8085364426892896,2.326332498915905e-05,0.1630583689342937,0.3493160591032062,P27,0.13492185593604156,0.13492185593604156,0.6789812569665666,1,P27,False,0.001884329324121883,0.011983395345535088,0.007467527321520054,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Neutral Happy,ROT,Separation Anxiety,Separation Anxiety Raw,35,0.6088160961790916,0.3457090244705036,0.7831687708801206,0.00010410545561822416,-0.13244042192916428,0.44819795384349037,P27,-0.11219760912502866,-0.11219760912502866,0.6622170029522363,2,P27; P20,False,0.006746033524060926,0.04290141096791975,0.03331374579783173,0.9817465616303366,1.0,1.0
All audit data; raw RCADS scores,Neutral Sad,ROT,Separation Anxiety,Separation Anxiety Raw,35,0.5926118751858659,0.32319097893948845,0.7731685616733636,0.00017618879840571014,0.1053827013199802,0.5468467833438515,P27,-0.038326520811588764,-0.038326520811588764,0.6461930042819182,1,P27,False,0.009514195113908348,0.06050553901858578,0.056204226691421534,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,ROT,Separation Anxiety,Separation Anxiety Raw,35,-0.5723434882191435,-0.7605325302760111,-0.29544822346452604,0.0003274823790717373,-0.04101380808128959,0.8150415101034002,P27,0.09305077358047882,-0.6340349133543345,0.09305077358047882,1,P27,False,0.015157755831320414,0.09639577241226087,0.10413939654481247,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Angry Caucasian,O,Separation Anxiety,Separation Anxiety Raw,22,0.6887789405061346,0.3765059447422454,0.8605019166465465,0.0003931344780087371,0.4541536771093565,0.03373519486851461,P27,0.4178932129625521,0.4178932129625521,0.7269083735851734,2,P25; P27,False,0.01592194635935385,0.10125564329550228,0.12462362952876965,0.4949622315993461,1.0,1.0
All audit data; raw RCADS scores,Negative Valence,ROT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.5342875337731067,-0.7364156575443893,-0.24459013402770272,0.0009462387994122539,-0.23620182996858388,0.17192013138023732,P27,-0.23645514083631125,-0.6003623920421916,-0.23645514083631125,2,P26; P27,False,0.03406459677884114,0.21663385760730777,0.29901146061427225,0.8269957158746317,1.0,1.0
