Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; lateralization,Neutral Angry,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.4772933251531483,-0.6993101489586723,-0.17129183486200358,0.003740298773002705,-0.11349590030284083,0.5162296213137789,P27,-0.13410182935352127,-0.5473991359764996,-0.13410182935352127,2,P25; P27,False,0.016831344478512172,0.07701064509456437,0.1608328472391163,0.7843448811344336,1.0,1.0
All audit data; lateralization,Neutral Angry,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.13282622195436736,-0.44631704271978057,0.20970257198140252,0.44686505653686354,-0.29632407110670383,0.08390397613461581,P30,-0.21422231870772726,-0.21422231870772726,-0.09679640834189791,2,P25; P27,False,0.5745407869759674,1.0,1.0,0.447049544916714,1.0,1.0
All audit data; lateralization,Neutral Fear,ROT minus LOT,Social Phobia,Social Phobia Raw,12,0.28148100687283256,-0.3487601661467961,0.7364196263522829,0.37544742759521654,0.5026431902238856,0.09581095942638063,P4,0.564781314334316,0.101395798110873,0.564781314334316,0,,True,0.5068540272535423,1.0,1.0,0.447049544916714,1.0,1.0
All audit data; lateralization,Neutral Fear,ROT minus LOT,Panic Disorder,Panic Disorder Raw,12,0.07957283991623512,-0.5179835209631953,0.6249355373077714,0.8058200537930609,0.28577990598160574,0.3678831935012029,P4,0.38829662726759573,-0.050131672489981,0.38829662726759573,0,,True,0.8702856580965057,1.0,1.0,0.6621897483021653,1.0,1.0
All audit data; lateralization,Neutral Fear,ROT minus LOT,Major Depression,Major Depression Raw,12,0.41272487627745047,-0.2112030222855912,0.7976842344584563,0.1824036525009317,0.5052662681922029,0.09381138541016806,P4,0.6889433533278004,0.25575033868781255,0.6889433533278004,0,,True,0.28969991867795036,1.0,1.0,0.447049544916714,1.0,1.0
All audit data; lateralization,Neutral Fear,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,12,0.27192990434647824,-0.3578122552619164,0.7316495519795252,0.39253854742144434,0.4140939618126039,0.18081165086844703,P4,0.6464995909431313,0.152202822002171,0.6464995909431313,0,,True,0.5170019892867803,1.0,1.0,0.513885744573481,1.0,1.0
All audit data; lateralization,Neutral Fear,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,12,0.4064967567139283,-0.2183415813423761,0.7949460813099347,0.18975571860253848,0.5179760795916604,0.08452012629541908,P4,0.6285528926711578,0.24534299798123574,0.6285528926711578,0,,True,0.2927659658439165,1.0,1.0,0.447049544916714,1.0,1.0
All audit data; lateralization,Neutral Fear,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,12,0.050162020799141484,-0.5392639621246077,0.606600775352024,0.8769676215768107,0.1883011483261124,0.5578230263511541,P11,0.35833007793878285,-0.08762386628776038,0.35833007793878285,0,,True,0.9106971454836112,1.0,1.0,0.7843448811344336,1.0,1.0
All audit data; lateralization,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia Raw,35,0.2706757901655326,-0.06877431990197196,0.5539546443277917,0.11578760289340818,0.030332926396172973,0.8626715397248765,P27,-0.06354593476234083,-0.06354593476234083,0.3032297638345975,2,P24; P27,False,0.2104034486812936,0.9626863340450031,1.0,0.9316852629028667,1.0,1.0
All audit data; lateralization,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,0.17731404163033737,-0.16572508055249835,0.48207510943942217,0.3081981089306162,-0.10073373819993041,0.5647683830898554,P27,-0.28507700955377396,-0.28507700955377396,0.27895680469562734,2,P24; P27,False,0.42673584313469937,1.0,1.0,0.7843448811344336,1.0,1.0
All audit data; lateralization,Neutral Happy,ROT minus LOT,Major Depression,Major Depression Raw,35,0.35362680428785964,0.02310280808037834,0.6144621157542995,0.0371623672127703,0.17078313562087138,0.32664008178221926,P27,0.07089152582416314,0.07089152582416314,0.3894412608762942,2,P24; P27,False,0.10547557738587378,0.48259616256905247,1.0,0.6299487291514229,1.0,1.0
All audit data; lateralization,Neutral Happy,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,0.5946506732349167,0.3260074960978518,0.7744317346496843,0.0001651579039651322,-0.09057215951284786,0.6048506205445654,P27,-0.26263056750845787,-0.26263056750845787,0.6535356721171064,2,P24; P27,False,0.0012740752591595913,0.005829442664676399,0.007927579390326345,0.8165483377351633,1.0,1.0
All audit data; lateralization,Neutral Happy,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.4865041629256479,0.18291245162343678,0.7053889393654692,0.0030423841828086527,0.11519621341599202,0.5099223791547183,P27,0.009055453382411233,0.009055453382411233,0.5595492184217119,2,P24; P27,False,0.016428874587166725,0.07516917212113546,0.13690728822638937,0.7843448811344336,1.0,1.0
All audit data; lateralization,Neutral Happy,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.020660054829972678,-0.31475353377989607,0.351486651794378,0.9062261267773639,-0.062766049643639,0.7201960456833632,P27,-0.14188733207797816,-0.14188733207797816,0.08509362337644968,2,P24; P27,False,0.9233247329429746,1.0,1.0,0.8838769651568549,1.0,1.0
All audit data; lateralization,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia Raw,35,0.42303135146934656,0.10451928035753331,0.6628354992664253,0.011343717128154783,0.5044253315511726,0.00200214460071793,P3,0.4600080904913053,0.3912115310823524,0.4600080904913053,2,P20; P27,False,0.04083738166135722,0.1868485972543086,0.4537486851261913,0.10811580843876821,0.4946763559749731,0.10811580843876821
