Stimulus Family,Variant,Condition,RCADS Scale,N Participants,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,LMM Omnibus q (BH-FDR),LMM Omnibus q (BY-FDR),LMM Omnibus p (Holm)
Facial expression,All 35 participants,Neutral Happy,Social Phobia,35,14.377932114413397,6,0.025687884047303062,True,,0.038531826070954595,0.1195723741143429,0.1284394202365153
Facial expression,All 35 participants,Neutral Happy,Panic Disorder,35,9.2775654040056,6,0.15855919604815466,True,,0.19027103525778558,0.5904511083661607,0.6276919482333223
Facial expression,All 35 participants,Neutral Happy,Major Depression,35,18.062169023041406,6,0.006078695360024025,True,,0.01215739072004805,0.037726944701632514,0.04255086752016817
Facial expression,All 35 participants,Neutral Happy,Separation Anxiety,35,69.25596546708039,6,5.809685911204761e-13,True,,6.9716230934457136e-12,2.1634415228040902e-11,6.9716230934457136e-12
Facial expression,All 35 participants,Neutral Happy,Generalized Anxiety,35,39.4623820305535,6,5.808720186559249e-07,True,,2.3234880746236996e-06,7.2102730038674336e-06,5.808720186559249e-06
Facial expression,All 35 participants,Neutral Happy,Obsessive Compulsive,35,1.1163274305470168,6,0.9808158004480817,True,,0.9808158004480817,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Social Phobia,35,20.265942679279306,6,0.0024830677682981146,True,,0.005959362643915475,0.01849315779192832,0.019864542146384917
Facial expression,All 35 participants,Neutral Sad,Panic Disorder,35,9.309161987747757,6,0.15692298705833058,True,,0.19027103525778558,0.5904511083661607,0.6276919482333223
Facial expression,All 35 participants,Neutral Sad,Major Depression,35,17.07793389883318,6,0.009001053040736073,True,,0.015430376641261838,0.04788370956197635,0.054006318244416436
Facial expression,All 35 participants,Neutral Sad,Separation Anxiety,35,59.74978576231433,6,5.0598209394436447e-11,True,,3.035892563666187e-10,9.421014221469303e-10,5.56580303338801e-10
Facial expression,All 35 participants,Neutral Sad,Generalized Anxiety,35,28.34533311109044,6,8.088451449137226e-05,True,,0.00024265354347411677,0.0007530050672145382,0.0007279606304223503
Facial expression,All 35 participants,Neutral Sad,Obsessive Compulsive,35,2.6577681931366897,6,0.850409887856271,True,,0.9277198776613866,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Social Phobia,34,1.9430631971351886,6,0.9248598336341586,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Panic Disorder,34,9.369728494963056,6,0.1538275367070899,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Major Depression,34,2.1409762642147143,6,0.9062869892343826,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Separation Anxiety,34,2.727009642637995,6,0.8422467315695517,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Generalized Anxiety,34,1.9913873455459452,6,0.9204889995790909,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Obsessive Compulsive,34,2.7307861031940774,6,0.8417976069765056,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Social Phobia,34,7.331486850675901,6,0.29127613564761956,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Panic Disorder,34,5.74833812141037,6,0.45196363119910343,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Major Depression,34,2.0031737387166686,6,0.9194064831504749,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Separation Anxiety,34,5.186989383345463,6,0.5200639221171037,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Generalized Anxiety,34,4.365162952037508,6,0.6273880183349556,True,,0.9248598336341586,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,Obsessive Compulsive,34,5.096525248806074,6,0.5314940688802867,True,,0.9248598336341586,1.0,1.0
Valence,All 35 participants,Positive Valence,Social Phobia,35,13.250892694773029,6,0.039220317865661415,True,,0.07844063573132283,0.24341781840707508,0.2745422250596299
Valence,All 35 participants,Positive Valence,Panic Disorder,35,10.289405621456808,6,0.11298174837609674,True,,0.19368299721616583,0.6010391451490549,0.6778904902565804
Valence,All 35 participants,Positive Valence,Major Depression,35,18.17567568085724,6,0.005807847097778045,True,,0.017423541293334135,0.05406891939371918,0.052270623880002406
Valence,All 35 participants,Positive Valence,Separation Anxiety,35,57.60654670960753,6,1.376841423922014e-10,True,,1.6522097087064167e-09,5.1271548107011064e-09,1.6522097087064167e-09
Valence,All 35 participants,Positive Valence,Generalized Anxiety,35,33.06887840008244,6,1.0170640568174998e-05,True,,6.102384340904999e-05,0.00018936984249242025,0.00011187704624992498
Valence,All 35 participants,Positive Valence,Obsessive Compulsive,35,1.1372875898991879,6,0.979868928346173,True,,0.979868928346173,1.0,1.0
Valence,All 35 participants,Negative Valence,Social Phobia,35,6.038610833881876,6,0.4188788067368025,True,,0.512990193139708,1.0,1.0
Valence,All 35 participants,Negative Valence,Panic Disorder,35,5.96172056265209,6,0.42749182761642335,True,,0.512990193139708,1.0,1.0
Valence,All 35 participants,Negative Valence,Major Depression,35,7.781556927662223,6,0.2545478543203662,True,,0.3818217814805493,1.0,1.0
Valence,All 35 participants,Negative Valence,Separation Anxiety,35,26.331431020103082,6,0.00019311157847472013,True,,0.0007724463138988805,0.0023970636496354835,0.0019311157847472012
Valence,All 35 participants,Negative Valence,Generalized Anxiety,35,15.837911528635459,6,0.014650914878913443,True,,0.03516219570939226,0.10911570119471976,0.11720731903130754
Valence,All 35 participants,Negative Valence,Obsessive Compulsive,35,4.421184145430971,6,0.6198749419020635,True,,0.6762272093477056,1.0,1.0
Valence,P27 omitted,Positive Valence,Social Phobia,34,3.2636314174887957,6,0.7751047280226083,True,,0.9952253738122802,1.0,1.0
Valence,P27 omitted,Positive Valence,Panic Disorder,34,5.058131271780212,6,0.536379287575613,True,,0.9952253738122802,1.0,1.0
Valence,P27 omitted,Positive Valence,Major Depression,34,2.0004972137853656,6,0.9196528685624683,True,,0.9952253738122802,1.0,1.0
Valence,P27 omitted,Positive Valence,Separation Anxiety,34,0.7872864283797298,6,0.9924102288459558,True,,0.9952253738122802,1.0,1.0
