Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,All 35 participants,Neutral Sad,O,Panic Disorder,Panic Disorder Raw,35,0.10189481766261704,-0.23948365691701523,0.42085090841914,0.5602673203962719,-0.013016157183137077,0.9408424515190807,P35,-0.09724025834598554,-0.09724025834598554,0.15460831952094423,0.7077060889216067,1.0,1.0,0.9549722361328196,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Social Phobia,Social Phobia Raw,35,-0.03764721310928071,-0.36629825171473435,0.29935498026419544,0.8299925419949017,0.0770961879236063,0.6597931152109423,P27,-0.15931786494576267,-0.15931786494576267,0.08021811420919239,0.8660791742555496,1.0,1.0,0.9314726332389773,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,Frontal,Panic Disorder,Panic Disorder Raw,35,0.028415772967060424,-0.30774494951409403,0.35826969761838917,0.8712765507180813,-0.0154213166626298,0.9299359113835276,P27,-0.06197611606486124,-0.06197611606486124,0.1055218535767973,0.8712765507180813,1.0,1.0,0.9549722361328196,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,PO,Social Phobia,Social Phobia Raw,35,-0.1328054954031339,-0.4463001466713324,0.2097227428057733,0.44693660980953637,-0.17539733828157425,0.3135410054120647,P4,-0.2115246038508951,-0.2115246038508951,-0.09537671323292994,0.6853757797110075,1.0,1.0,0.6270820108241294,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,PO,Panic Disorder,Panic Disorder Raw,35,-0.21143911134895566,-0.5088326208690506,0.13104074116339562,0.2227285308722205,-0.25126842562229834,0.1453885324854009,P8,-0.29986605753615847,-0.29986605753615847,-0.15297591089897075,0.445457061744441,1.0,1.0,0.423745886884469,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,CP,Social Phobia,Social Phobia Raw,35,-0.2482152200970767,-0.5370395380116217,0.09269910365013406,0.15050711592113242,-0.16472464195699488,0.3443459279455363,P27,-0.1782711785557587,-0.288035408439903,-0.1782711785557587,0.4013523091230198,1.0,1.0,0.6357155592840671,1.0,1.0
Facial expression,All 35 participants,Neutral Sad,CP,Panic Disorder,Panic Disorder Raw,35,-0.08936211052766833,-0.4103874742882149,0.25137013990780555,0.609703529939954,-0.009903597856734732,0.9549722361328196,P4,0.02490043825161282,-0.18005292672297052,0.02490043825161282,0.7316442359279448,1.0,1.0,0.9549722361328196,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,LOT,Social Phobia,Social Phobia Raw,34,0.17514552939576233,-0.17328343603216054,0.4846087199585738,0.32180710730241147,0.1881567353841129,0.2865819935010874,P20,0.03980296940233653,0.03980296940233653,0.22357262721001753,0.6844799443115858,1.0,1.0,0.6775533358067859,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,LOT,Panic Disorder,Panic Disorder Raw,34,0.25107399643627654,-0.09517226562589556,0.5431258075113637,0.15205778343245516,0.3681386217009245,0.032179008456198595,P7,0.3087390492216502,0.19972513411160295,0.3087390492216502,0.6844799443115858,1.0,1.0,0.37046136720600187,1.0,0.7401171944925676
Facial expression,P27 omitted,Neutral Happy,ROT,Social Phobia,Social Phobia Raw,34,0.08014566458382,-0.2652078322199921,0.4072732334999989,0.6522983668956408,0.058224396942966536,0.7436055588461896,P20,-0.06195145213123254,-0.06195145213123254,0.1697403028279667,0.7938455843864066,1.0,1.0,0.8565249793449199,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,ROT,Panic Disorder,Panic Disorder Raw,34,-0.040002325363375724,-0.3731206652188955,0.302252061144755,0.8222774221223454,0.02363626064634555,0.894442412362757,P20,-0.19378365889602173,-0.19378365889602173,0.08226138207440098,0.8580286143885344,1.0,1.0,0.9420430580353444,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,O,Social Phobia,Social Phobia Raw,34,0.11762712522204438,-0.22967443795053705,0.4383561299590393,0.5076320817926467,0.14739965752403636,0.4054709601602532,P20,0.07553629091931274,0.07553629091931274,0.15268349801742653,0.7938455843864066,1.0,1.0,0.7949053658122625,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,O,Panic Disorder,Panic Disorder Raw,34,0.23055108460882404,-0.116714171379134,0.5275839779128259,0.1895866213305117,0.32380132231856384,0.06174356120100031,P4,0.17898217939289907,0.17898217939289907,0.26857003201308155,0.6844799443115858,1.0,1.0,0.37046136720600187,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Frontal,Social Phobia,Social Phobia Raw,34,0.15845383566340765,-0.1898866839728038,0.4713622240053418,0.37075996983544224,0.09990080738635311,0.5740222951852166,P20,0.052096778616240444,0.052096778616240444,0.22751197089621433,0.6844799443115858,1.0,1.0,0.8145563484262464,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,Frontal,Panic Disorder,Panic Disorder Raw,34,0.07923771611133175,-0.2660571088403166,0.40651076373250755,0.6559939250729502,0.1792030218938617,0.3105452789114435,P8,0.25833394636612206,-0.024255446464939205,0.25833394636612206,0.7938455843864066,1.0,1.0,0.6775533358067859,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,PO,Social Phobia,Social Phobia Raw,34,0.07561370135819574,-0.269441607450938,0.4034628695574163,0.6708237801919725,-0.021757537805003283,0.9027912639505384,P20,-0.05512620262993566,-0.05512620262993566,0.13971288134500395,0.7938455843864066,1.0,1.0,0.9420430580353444,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,PO,Panic Disorder,Panic Disorder Raw,34,0.22014106746655684,-0.12751756814616821,0.5196238084116114,0.2109220962086405,0.3302897075940313,0.05641767126716229,P20,0.1546368610769219,0.1546368610769219,0.2792994046014788,0.6844799443115858,1.0,1.0,0.37046136720600187,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,CP,Social Phobia,Social Phobia Raw,34,0.0629678997285419,-0.2811852393778778,0.3927701140776649,0.7235032207311923,0.21696248966115952,0.21775367021709874,P25,0.302659667469507,-0.09101736251464679,0.302659667469507,0.7938455843864066,1.0,1.0,0.6532610106512963,1.0,1.0
Facial expression,P27 omitted,Neutral Happy,CP,Panic Disorder,Panic Disorder Raw,34,0.21910706044662784,-0.12858616368959527,0.5188302912668362,0.21312803888456622,0.5056305953953528,0.0022846677705092616,P8,0.30836591516895584,0.15038893877541218,0.30836591516895584,0.6844799443115858,1.0,1.0,0.05483202649222228,0.20704343883610368,0.05483202649222228
