Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants,Neutral Angry,Frontal,Social Phobia,Social Phobia Raw,35,-0.06199313424528037,-0.38723969481242043,0.276975445425284,0.7235057868805558,-0.03187765875894104,0.8557493553576966,P27,-0.008817402589512423,-0.09686529134641321,-0.008817402589512423,0.9110680839087415,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Panic Disorder,Panic Disorder Raw,35,0.010961018545020967,-0.32346706112162227,0.34295484455209363,0.9501702384534324,0.08941534064937645,0.609489703540491,P1,-0.13922960429194264,-0.13922960429194264,0.05694785269838376,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Major Depression,Major Depression Raw,35,0.04572254841003331,-0.2919727502790694,0.3732814478701432,0.7942384250017075,0.10691530730795902,0.5409981035368909,P1,-0.09872928572795979,-0.09872928572795979,0.12026551771940172,0.9462356992894889,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Separation Anxiety,Separation Anxiety Raw,35,-0.004432482519192749,-0.3371809738652488,0.3293004748953005,0.9798390787640544,0.006693225624377121,0.9695601593481159,P1,-0.21682676875549245,-0.21682676875549245,0.15392811491019595,0.9798390787640544,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Generalized Anxiety,Generalized Anxiety Raw,35,0.020595906822256493,-0.31481135009235867,0.35143040361286304,0.9065160116905203,0.10754480440681173,0.5386045059964233,P16,-0.1022463950279596,-0.1022463950279596,0.13227402850363326,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,Frontal,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.14248873753212762,-0.2002672741245969,0.45416954994582054,0.4141920031350279,0.03899750023210223,0.8239885610154447,P1,-0.02548450224734264,-0.02548450224734264,0.20192878315841484,0.8191960886408518,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,PO,Social Phobia,Social Phobia Raw,35,0.22207366727598293,-0.12005778775413098,0.5170553823244464,0.19978220961086776,0.11290589269686606,0.518427208935808,P13,0.15098527230640274,0.15098527230640274,0.2678611616105207,0.6357688508447555,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,PO,Panic Disorder,Panic Disorder Raw,35,0.12308561263725612,-0.21914999464774532,0.43835190238417104,0.48116862802015276,0.08021914263955134,0.6468901107713951,P13,0.020919861160752444,0.020919861160752444,0.21120160723403486,0.8262747003947434,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,PO,Major Depression,Major Depression Raw,35,0.1189084947347363,-0.2231818179478279,0.43492092994243414,0.49628675312806386,0.1484153279077589,0.3948384018026827,P13,0.053170206783887175,0.053170206783887175,0.17388618303475972,0.8262747003947434,1.0,1.0,0.9801851177210915,1.0,1.0
All 35 participants,Neutral Angry,PO,Separation Anxiety,Separation Anxiety Raw,35,0.08203917844367095,-0.2582682317428652,0.4042342525252474,0.6394164628981956,0.04713739748231546,0.7880141424209496,P27,0.20444576711455367,0.027712591685288196,0.20444576711455367,0.885345871705194,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,PO,Generalized Anxiety,Generalized Anxiety Raw,35,0.22832757363652914,-0.11355965401638306,0.5218656844621853,0.18708475074413655,0.10315232886450454,0.5554112145343826,P16,0.0347185840914876,0.0347185840914876,0.32969156037955166,0.635382172338577,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Angry,PO,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.02191010746226933,-0.31362636987690845,0.35258228389923363,0.9005795608867059,0.003985146009119936,0.9818734134920108,P30,0.11562466102837246,-0.06238688472495137,0.11562466102837246,0.9793845959792696,1.0,1.0,0.9873587398243684,1.0,1.0
All 35 participants,Neutral Angry,CP,Social Phobia,Social Phobia Raw,35,-0.20402848376363095,-0.5030703744729406,0.13864476623994762,0.239743405021276,-0.18017196558467558,0.300338876162996,P25,-0.0352605663316508,-0.26923307313058015,-0.0352605663316508,0.6824974599040786,1.0,1.0,0.9677962075942814,1.0,1.0
All 35 participants,Neutral Angry,CP,Panic Disorder,Panic Disorder Raw,35,0.02377091124891382,-0.31194674252706805,0.35421154284843376,0.8921831556025924,-0.014289476907574402,0.935066957879652,P35,0.06909498547568836,-0.014782642214342228,0.06909498547568836,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
