Variant,RCADS Scale,Effect,Correction Family,N Participants,N Rows,Likelihood-Ratio Chi-Square,Degrees of Freedom,p,Converged,Warnings,Focused Lateralization LMM q (BH-FDR),Focused Lateralization LMM q (BY-FDR),Focused Lateralization LMM p (Holm)
All 35 participants; focused lateralization,Social Phobia,Average score slope across conditions,Four focused lateralization model tests,35,70,4.073337309908993,1,0.04356512164707895,True,,0.1742604865883158,0.3630426803923245,0.1742604865883158
All 35 participants; focused lateralization,Social Phobia,Condition x score interaction,Four focused lateralization model tests,35,70,0.12000788960313002,1,0.7290259327869704,True,,0.8210093735913473,1.0,1.0
All 35 participants; focused lateralization,Panic Disorder,Average score slope across conditions,Four focused lateralization model tests,35,70,1.6907892699060199,1,0.19349695870694122,True,,0.38699391741388245,0.8062373279455883,0.5804908761208236
All 35 participants; focused lateralization,Panic Disorder,Condition x score interaction,Four focused lateralization model tests,35,70,0.051187672343587565,1,0.8210093735913473,True,,0.8210093735913473,1.0,1.0
P27 omitted; focused lateralization,Social Phobia,Average score slope across conditions,Four focused lateralization model tests,34,68,2.670360017604537,1,0.1022328953933345,True,,0.13631052719111267,0.28398026498148465,0.204465790786669
P27 omitted; focused lateralization,Social Phobia,Condition x score interaction,Four focused lateralization model tests,34,68,6.283007978018077,1,0.012190101865796126,True,,0.0487604074631845,0.10158418221496769,0.0487604074631845
P27 omitted; focused lateralization,Panic Disorder,Average score slope across conditions,Four focused lateralization model tests,34,68,0.11183430363416846,1,0.7380653938285224,True,,0.7380653938285224,1.0,0.7380653938285224
P27 omitted; focused lateralization,Panic Disorder,Condition x score interaction,Four focused lateralization model tests,34,68,4.351934613478761,1,0.03696693056062026,True,,0.07393386112124052,0.15402887733591772,0.11090079168186079
