Variant,Condition,ROI,RCADS Scale,N,Partial Pearson r,Partial Pearson p,Degrees of Freedom,Covariates,Partial Pearson q (BH-FDR),Partial Pearson q (BY-FDR),Partial Pearson p (Holm)
P27 omitted; focused post-hoc,Neutral Happy,PO,Panic Disorder,34,0.13669857932566376,0.45564877003860993,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Happy,CP,Social Phobia,34,0.08925511556795244,0.627118438569995,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Happy,CP,Panic Disorder,34,0.2241992302517897,0.21735930409227927,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,LOT,Social Phobia,34,-0.27651374553073377,0.12551954145259986,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,LOT,Panic Disorder,34,-0.20755291519189137,0.2543486334846577,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,ROT,Social Phobia,34,0.16296629521621614,0.37283402881870586,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,ROT,Panic Disorder,34,-0.10375070333608506,0.5720188282587255,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,O,Social Phobia,34,-0.21562889816963934,0.23591580378522614,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,O,Panic Disorder,34,-0.09062273866571544,0.6218283159658553,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,Frontal,Social Phobia,34,-0.12177343171838896,0.5067379935289464,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,Frontal,Panic Disorder,34,-0.005459172766503111,0.9763435987525111,30,Age; Sex,0.9883485775475229,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,PO,Social Phobia,34,-0.07041495840862107,0.7017529110926886,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,PO,Panic Disorder,34,-0.08763659245669024,0.6334026426586733,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,CP,Social Phobia,34,-0.16609274774207503,0.36360671639361875,30,Age; Sex,0.8786776797384294,1.0,1.0
P27 omitted; focused post-hoc,Neutral Sad,CP,Panic Disorder,34,0.026025766235186043,0.8875616542148829,30,Age; Sex,0.9682490773253268,1.0,1.0
