Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; focused lateralization T scores,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia T,35,0.25474223709619964,-0.0857869288796001,0.5419791073873279,0.13972076131014363,0.03169263497351078,0.8565779281351859,P27,-0.05120756028469874,-0.05120756028469874,0.2836014753718106,0.24638759200494353,0.5133074833436323,0.41916228393043087,0.8565779281351859,1.0,1.0
All 35 participants; focused lateralization T scores,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder T,35,0.13621026361146002,-0.2064053499666345,0.44907268081583473,0.4352661831654814,-0.09245813686481177,0.5973200484631567,P27,-0.2746467595462046,-0.2746467595462046,0.21401725621157544,0.4352661831654814,0.9068045482614193,0.4352661831654814,0.7964267312842089,1.0,1.0
All 35 participants; focused lateralization T scores,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia T,35,0.40285431194257015,0.08040167704110837,0.6489759589906092,0.016420703605213412,0.48520582747056334,0.003133326488526942,P27,0.44199021433925556,0.37250536142320756,0.44199021433925556,0.06568281442085365,0.13683919671011174,0.06568281442085365,0.012533305954107768,0.026111054071057845,0.012533305954107768
All 35 participants; focused lateralization T scores,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder T,35,0.2294890246707141,-0.11234961688086126,0.5227569842038752,0.18479069400370765,0.18660500682304473,0.28311868463367706,P27,0.1515146142575872,0.1515146142575872,0.293533078608324,0.24638759200494353,0.5133074833436323,0.41916228393043087,0.5662373692673541,1.0,0.8493560539010312
P27 omitted; focused lateralization T scores,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia T,34,-0.05120756028469874,-0.38274539362261556,0.29201485357601575,0.7736460565896117,-0.046202134987150124,0.7952771923529962,P24,0.05926799885454179,-0.14941733495779722,0.05926799885454179,0.7736460565896117,1.0,0.7846786170566065,0.7952771923529962,1.0,1.0
P27 omitted; focused lateralization T scores,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder T,34,-0.2746467595462046,-0.5607336914874906,0.07002234097511749,0.11596183217614153,-0.1686399893647452,0.34038597881806787,P8,-0.14265700134210418,-0.3596987444651403,-0.14265700134210418,0.23192366435228307,0.483174300733923,0.3478854965284246,0.6192575275391067,1.0,1.0
P27 omitted; focused lateralization T scores,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia T,34,0.44199021433925556,0.12206979148534526,0.6787116452869951,0.008866629853651782,0.444733796051806,0.008405639255902932,P24,0.4912989043519149,0.40247435573772333,0.4912989043519149,0.03546651941460713,0.07388858211376484,0.03546651941460713,0.03362255702361173,0.07004699379919109,0.03362255702361173
P27 omitted; focused lateralization T scores,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder T,34,0.1515146142575872,-0.1967309984754434,0.4658134092030024,0.39233930852830323,0.12978214117778658,0.46444314565433,P20,0.06039201715306058,0.06039201715306058,0.23965421456734812,0.5231190780377376,1.0,0.7846786170566065,0.6192575275391067,1.0,1.0
