Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; complete-condition lateralization,Negative Valence,ROT minus LOT,Social Phobia,Social Phobia Raw,35,-0.2626652257805813,-0.5479485822354562,0.0773521267053397,0.12740319555511959,-0.1061652423866054,0.5438567487619376,P27,0.0006901595934747304,-0.30314840784577723,0.0006901595934747304,0.18200456507874227,0.7271058952583382,1.0,0.7708881527141977,1.0,1.0
All 35 participants; complete-condition lateralization,Negative Valence,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,-0.2312101597116405,-0.5240766085086751,0.11055461659701057,0.18142778600038478,-0.1005922582305485,0.5653179786570783,P27,-0.047574071072234714,-0.28703107732221433,-0.047574071072234714,0.23664493826137145,0.9453934829516293,1.0,0.7708881527141977,1.0,1.0
All 35 participants; complete-condition lateralization,Negative Valence,ROT minus LOT,Major Depression,Major Depression Raw,35,-0.28307483565319663,-0.5631932692121935,0.055397566970418255,0.09939933224400574,-0.009425428407412176,0.957144238756572,P27,0.09503049793807948,-0.3101962888213777,0.09503049793807948,0.17533620723441135,0.7004658914858641,1.0,0.9904012431912397,1.0,1.0
All 35 participants; complete-condition lateralization,Negative Valence,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,-0.6348347543278783,-0.7990393417719884,-0.3825108651055734,4.2004390213527126e-05,-0.17573277490385888,0.3126017897768642,P27,-0.1495859768278176,-0.6678734073449204,-0.1495859768278176,0.00042004390213527126,0.0016780699834519927,0.0011761229259787595,0.6532801635644385,1.0,1.0
All 35 participants; complete-condition lateralization,Negative Valence,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.3883796263479412,-0.638931690323166,-0.0633295876699307,0.021134201859199505,0.11406267134055789,0.5141229296386916,P27,0.18519881541812916,-0.4382322579718447,0.18519881541812916,0.05283550464799876,0.21107716112443953,0.4015498353247906,0.7708881527141977,1.0,1.0
All 35 participants; complete-condition lateralization,Negative Valence,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.004212460127425377,-0.3294966277728637,0.336985947931317,0.9808396511359687,0.003131186150022807,0.9857572348602208,P27,0.11983501338001712,-0.04163028356307841,0.11983501338001712,0.9808396511359687,1.0,1.0,0.9904012431912397,1.0,1.0
All 35 participants; complete-condition lateralization,Neutral Angry,ROT minus LOT,Social Phobia,Social Phobia Raw,35,-0.2061241610457601,-0.5047026009631316,0.1364984870315161,0.23484559062455995,-0.04479723852027397,0.79831589436397,P27,0.06564015270420863,-0.31578719074246847,0.06564015270420863,0.2935569882806999,1.0,1.0,0.9211337242661192,1.0,1.0
All 35 participants; complete-condition lateralization,Neutral Angry,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,-0.23853467915743481,-0.5296767635399069,0.1028907384389942,0.16760085379316228,0.13242525134148156,0.44825041054857995,P27,-0.08303895121892575,-0.2824364891107111,-0.08303895121892575,0.22854661880885768,0.9130408009567546,1.0,0.7708881527141977,1.0,1.0
All 35 participants; complete-condition lateralization,Neutral Angry,ROT minus LOT,Major Depression,Major Depression Raw,35,-0.34717098418492603,-0.6098606023340329,-0.0157461695809747,0.04101828009450647,-0.0021101705389728756,0.9904012431912397,P27,-0.10944422705300588,-0.40563453137117866,-0.10944422705300588,0.08676044404077686,0.3466068574158423,0.69731076160661,0.9904012431912397,1.0,1.0
All 35 participants; complete-condition lateralization,Neutral Angry,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,35,-0.6226555034954274,-0.7916387524852893,-0.36518379016000796,6.489390758616322e-05,-0.21817067354352657,0.20800412305835356,P27,-0.20120674221408458,-0.6790778538834897,-0.20120674221408458,0.00048670430689622417,0.001944377442613944,0.001752135504826407,0.5917745911409754,1.0,1.0
