Variant,Condition,ROI,RCADS Scale,N,Partial Pearson r,Partial Pearson p,Degrees of Freedom,Covariates,Partial Pearson q (BH-FDR),Partial Pearson q (BY-FDR),Partial Pearson p (Holm)
All 35 participants,Neutral Happy,ROT,Social Phobia,35,0.239046264771302,0.1803146495360956,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,ROT,Panic Disorder,35,0.11742205302025574,0.5151843089185847,31,Age; Sex,0.825600923259464,1.0,1.0
All 35 participants,Neutral Happy,ROT,Major Depression,35,0.28167135212673566,0.1122789210399921,31,Age; Sex,0.636749902640462,1.0,1.0
All 35 participants,Neutral Happy,ROT,Separation Anxiety,35,0.5979611389755521,0.00023786207368913412,31,Age; Sex,0.010703793316011035,0.06179243923572574,0.042101587042976736
All 35 participants,Neutral Happy,ROT,Generalized Anxiety,35,0.4568778693912255,0.007521254346546521,31,Age; Sex,0.12307507112530672,0.7105059514337971,1.0
All 35 participants,Neutral Happy,ROT,Obsessive Compulsive,35,0.013791797952499935,0.9392787260250866,31,Age; Sex,0.9887144484474596,1.0,1.0
All 35 participants,Neutral Happy,O,Social Phobia,35,0.09136451841735603,0.6130871644214348,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Neutral Happy,O,Panic Disorder,35,0.11952708069926994,0.5076271350072042,31,Age; Sex,0.825600923259464,1.0,1.0
All 35 participants,Neutral Happy,O,Major Depression,35,-0.034017935248220235,0.8509257709456743,31,Age; Sex,0.9513455824237352,1.0,1.0
All 35 participants,Neutral Happy,O,Separation Anxiety,35,0.06194132080393568,0.7320236903606229,31,Age; Sex,0.891761949050196,1.0,1.0
All 35 participants,Neutral Happy,O,Generalized Anxiety,35,0.09943441526227206,0.5819422620043608,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Neutral Happy,O,Obsessive Compulsive,35,0.06931224991624607,0.7015141294284937,31,Age; Sex,0.8801611973331155,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Social Phobia,35,0.10994645857226049,0.5424633157926229,31,Age; Sex,0.8490730160232358,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Panic Disorder,35,-0.026198322023964007,0.8849322777338824,31,Age; Sex,0.9772258281723855,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Major Depression,35,-0.04159455366407085,0.8182249729123287,31,Age; Sex,0.9380923256319691,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Separation Anxiety,35,-0.21601776191214647,0.2272788441435493,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Generalized Anxiety,35,0.0008239409706120859,0.9963691039633393,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Obsessive Compulsive,35,0.17702247126218135,0.32436969311086117,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Neutral Happy,PO,Social Phobia,35,0.09810850584723982,0.5870109523293663,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Neutral Happy,PO,Panic Disorder,35,0.1594176484233292,0.3755313955631904,31,Age; Sex,0.7595016988918457,1.0,1.0
All 35 participants,Neutral Happy,PO,Major Depression,35,0.024257704623550085,0.8934054869053415,31,Age; Sex,0.9773954715850299,1.0,1.0
All 35 participants,Neutral Happy,PO,Separation Anxiety,35,0.15331622574001302,0.39430977087542973,31,Age; Sex,0.7799533929404104,1.0,1.0
All 35 participants,Neutral Happy,PO,Generalized Anxiety,35,0.20357647091385125,0.2558249572661135,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,PO,Obsessive Compulsive,35,0.23061028173214693,0.1966480661459613,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,CP,Social Phobia,35,0.09442084944429514,0.6012092421419756,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Neutral Happy,CP,Panic Disorder,35,0.2264805806810099,0.2050082383479971,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,CP,Major Depression,35,0.25736276857182844,0.14820055078208583,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,CP,Separation Anxiety,35,0.23039812877209942,0.19707167386715652,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,CP,Generalized Anxiety,35,0.25607436887415824,0.1503132840556537,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Happy,CP,Obsessive Compulsive,35,0.29370823894247344,0.09711824991518174,31,Age; Sex,0.5841683191905519,1.0,1.0
All 35 participants,Neutral Sad,LOT,Social Phobia,35,-0.3318559979679306,0.05919748332195065,31,Age; Sex,0.44131825987627454,1.0,1.0
All 35 participants,Neutral Sad,LOT,Panic Disorder,35,-0.24299322801535228,0.17301131922849478,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Sad,LOT,Major Depression,35,-0.25072447105991824,0.15931979520918188,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Sad,LOT,Separation Anxiety,35,-0.45046937707132545,0.008520942111177352,31,Age; Sex,0.12781413166766029,0.7378643001941168,1.0
All 35 participants,Neutral Sad,LOT,Generalized Anxiety,35,-0.3913248329094459,0.02432426813926755,31,Age; Sex,0.2535421229734532,1.0,1.0
All 35 participants,Neutral Sad,LOT,Obsessive Compulsive,35,-0.24470450838210367,0.1699110694847596,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Sad,ROT,Social Phobia,35,0.2734450706028428,0.12361681814838132,31,Age; Sex,0.6742735535366254,1.0,1.0
All 35 participants,Neutral Sad,ROT,Panic Disorder,35,0.10311944219605641,0.5679583113985367,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Neutral Sad,ROT,Major Depression,35,0.29350433692475686,0.09736138653175865,31,Age; Sex,0.5841683191905519,1.0,1.0
All 35 participants,Neutral Sad,ROT,Separation Anxiety,35,0.5746638053068076,0.00046932941498822975,31,Age; Sex,0.01689585893957627,0.09753891036904286,0.08260197703792843
All 35 participants,Neutral Sad,ROT,Generalized Anxiety,35,0.38876656219367806,0.025354212297345323,31,Age; Sex,0.2535421229734532,1.0,1.0
All 35 participants,Neutral Sad,ROT,Obsessive Compulsive,35,-0.0415952774941237,0.8182218622621376,31,Age; Sex,0.9380923256319691,1.0,1.0
All 35 participants,Neutral Sad,O,Social Phobia,35,-0.19044400453704188,0.2884227418216992,31,Age; Sex,0.7111793633959707,1.0,1.0
All 35 participants,Neutral Sad,O,Panic Disorder,35,-0.0776126333187819,0.6676991158255605,31,Age; Sex,0.8653375519157759,1.0,1.0
All 35 participants,Neutral Sad,O,Major Depression,35,-0.07898628379810328,0.6621621941097844,31,Age; Sex,0.8653375519157759,1.0,1.0
